company_id,company_name,sector,country,revenue_m,ebitda_margin,debt_ratio,interest_coverage,cash_ratio,years_in_operation,employee_count,revenue_growth,business_description
1001,Aster Holdings #0001,Manufacturing,Netherlands,67.51607084094553,0.25259795100891597,0.44062918197535406,1.6835390758067792,0.15085204464870738,5,156,0.02178230338745163,"Aster Holdings #0001 operates in the manufacturing market. The business faces high customer concentration. The business faces exposed to volatile commodity prices. The company benefits from resilient demand profile. Management is focused on disciplined growth, sustainable margin expansion, and maintaining a balanced funding structure."
1002,BluePeak Solutions #0002,Logistics,France,10.607305700004048,0.1373399176988624,0.5529988453310689,4.214265382345819,0.049300923075755454,10,158,0.10121066229284602,"BluePeak Solutions #0002 operates in the logistics market. The business faces dependence on a few key accounts. The company benefits from high-quality management team. Management is focused on disciplined growth, sustainable margin expansion, and maintaining a balanced funding structure."
1003,Crestline Partners #0003,Consumer Finance,Netherlands,37.615011301438926,0.2220356318508743,0.48967746756243896,4.046509728753159,0.09771021315844258,9,143,0.046903521809120524,"Crestline Partners #0003 operates in the consumer finance market. The business faces short operating history. The business faces declining revenue. Management is focused on disciplined growth, sustainable margin expansion, and maintaining a balanced funding structure."
1004,Dune Finance #0004,Hospitality,Luxembourg,37.1017896734452,0.17907116585210245,0.6747811016057134,2.609480737150544,0.0937199074891166,4,145,0.006581202132909761,"Dune Finance #0004 operates in the hospitality market. The business faces legacy debt burden. The business faces declining revenue. The company benefits from recurring subscription revenue. Management is focused on disciplined growth, sustainable margin expansion, and maintaining a balanced funding structure."
1005,Evergreen Holdings #0005,Consumer Finance,Germany,42.603767548229115,0.15915553388175904,0.7210711916516239,2.286937268297155,0.06698247391244877,12,124,-0.10904945822515358,"Evergreen Holdings #0005 operates in the consumer finance market. The business faces weak liquidity position. The business faces dependence on a few key accounts. The company benefits from long-term government contracts. Management is focused on disciplined growth, sustainable margin expansion, and maintaining a balanced funding structure."
1006,Fjord Solutions #0006,Healthcare,Germany,22.596400681697112,0.22860085865165392,0.1866087153590815,3.9313047131050687,0.1121517547059586,11,135,0.10306832612810334,"Fjord Solutions #0006 operates in the healthcare market. The business faces high customer concentration. The business faces exposed to volatile commodity prices. Management is focused on disciplined growth, sustainable margin expansion, and maintaining a balanced funding structure."
1007,Granite Partners #0007,Consumer Finance,UK,15.19823054720074,0.1745067249211514,0.13831475056405698,1.531619979838451,0.1524147559829223,17,120,0.07710936708475616,"Granite Partners #0007 operates in the consumer finance market. The business faces weak liquidity position. The business faces tight cash position. Management is focused on disciplined growth, sustainable margin expansion, and maintaining a balanced funding structure."
1008,Harbor Finance #0008,Consumer Finance,Ireland,15.942437491285983,0.15517862350438597,0.37918695723686136,3.5949696713354586,0.14990967487445553,21,189,0.023435128808496415,"Harbor Finance #0008 operates in the consumer finance market. The business faces margin compression. The business faces tight cash position. The company benefits from long-term government contracts. Management is focused on disciplined growth, sustainable margin expansion, and maintaining a balanced funding structure."
1009,Ironwood Holdings #0009,Renewable Energy,Ireland,59.294940133303655,0.22897210864910167,0.4354655672868354,3.484273395931303,0.12894656858967662,13,253,-0.023365919492016177,"Ironwood Holdings #0009 operates in the renewable energy market. The business faces legacy debt burden. The company benefits from high-quality management team. Management is focused on disciplined growth, sustainable margin expansion, and maintaining a balanced funding structure."
1010,Lattice Solutions #0010,Manufacturing,Italy,22.277024410210288,0.2224631126885946,0.37165264900937056,2.6430335290132057,0.03216309972478819,8,140,0.07114862307881724,"Lattice Solutions #0010 operates in the manufacturing market. The business faces margin compression. Management is focused on disciplined growth, sustainable margin expansion, and maintaining a balanced funding structure."
